delivery_id,order_id,store_id,rider_id,order_ts,pickup_ts,delivery_ts,promised_mins,actual_mins,pick_pack_mins,distance_km,is_late,is_rainy
D00000040,O00000015,S001,R060,2025-12-02 20:15:53,2025-12-02 20:17:53,2025-12-02 20:36:23,30,20.5,2,1.65,0,0
D00000041,O00000016,S001,R009,2025-12-02 20:52:53,2025-12-02 20:59:53,2025-12-02 21:07:41,30,14.8,7,1.79,0,0
D00000042,O00000017,S001,R008,2025-12-02 07:11:23,2025-12-02 07:16:23,2025-12-02 07:19:59,30,8.6,5,2.19,0,No
D00000044,O00000018,S001,R035,2025-12-02 21:53:16,2025-12-02 22:01:16,2025-12-02 22:13:40,30,20.4,8,1.25,0,0
D00000045,O00000019,S001,R002,2025-12-03 07:04:54,2025-12-03 07:09:54,2025-12-03 07:22:06,30,17.2,5,1.69,0,0
D00000046,O00000020,S001,R134,2025-12-03 22:21:58,2025-12-03 22:28:58,2025-12-03 22:33:40,30,11.7,7,1.99,0,0
D00000051,O00000021,S001,R191,2025-12-03 15:45:00,2025-12-03 15:51:00,2025-12-03 15:58:24,30,13.4,6,1.96,0,0
D00000052,O00000022,S001,R044,2025-12-03 18:07:38,2025-12-03 18:10:38,2025-12-03 18:27:08,30,19.5,3,1.1,0,0
D00000054,O00000023,S001,R190,2025-12-03 22:29:29,2025-12-03 22:36:29,2025-12-03 22:43:41,30,14.2,7,2.17,0,0
D00000059,O00000024,S001,R082,2025-12-03 07:59:29,2025-12-03 08:05:29,2025-12-03 08:16:29,30,17,6,1.89,0,0
D00000062,O00000025,S001,R188,2025-12-03 21:01:12,2025-12-03 21:03:12,2025-12-03 21:20:18,30,19.1,2,2.97,0,No
D00000063,O00000026,S001,R041,2025-12-04 19:11:25,2025-12-04 19:16:25,2025-12-04 19:25:19,30,13.9,5,2.34,0,0
D00000064,O00000027,S001,R071,2025-12-04 09:25:56,2025-12-04 09:27:56,2025-12-04 09:44:50,30,18.9,2,1.38,0,0
D00000067,O00000028,S001,R088,2025-12-04 19:13:25,2025-12-04 19:15:25,2025-12-04 19:30:49,30,17.4,2,1.54,0,No
D00000069,O00000029,S001,R139,2025-12-04 14:45:42,2025-12-04 14:53:42,2025-12-04 14:55:48,30,10.1,8,1.02,0,No
D00000072,O00000030,S001,R081,2025-12-04 21:43:24,2025-12-04 21:47:24,2025-12-04 22:01:36,30,18.2,4,1.4,0,No
D00000076,O00000031,S001,R005,2025-12-04 17:51:25,2025-12-04 17:55:25,2025-12-04 18:00:13,30,8.8,4,2.27,0,0
D00000081,O00000032,S001,R041,2025-12-04 22:35:23,2025-12-04 22:38:23,2025-12-04 22:50:11,30,14.8,3,2.14,0,0
D00000083,O00000033,S001,R151,2025-12-04 18:50:56,2025-12-04 18:58:56,2025-12-04 19:09:50,30,18.9,8,1.35,0,0
D00000088,O00000034,S001,R037,2025-12-04 09:02:32,2025-12-04 09:09:32,2025-12-04 09:20:50,30,18.3,7,1.74,0,0
D00000090,O00000035,S001,R035,2025-12-04 21:16:08,2025-12-04 21:20:08,2025-12-04 21:31:56,30,15.8,4,2.21,0,0
D00000091,O00000036,S001,R101,2025-12-04 12:13:52,2025-12-04 12:15:52,2025-12-04 12:34:10,30,20.3,2,2.48,0,0
D00000092,O00000037,S001,R103,2025-12-04 12:39:21,2025-12-04 12:46:21,2025-12-04 12:53:57,30,14.6,7,1.33,0,0
D00000095,O00000038,S001,R137,2025-12-04 06:39:13,2025-12-04 06:43:13,2025-12-04 06:54:19,30,15.1,4,2.19,0,0
D00000100,O00000039,S001,R179,2025-12-05 20:30:46,2025-12-05 20:35:46,2025-12-05 20:52:40,30,21.9,5,1.49,0,0
D00000104,O00000040,S001,R096,2025-12-05 19:46:25,2025-12-05 19:54:25,2025-12-05 20:03:07,30,16.7,8,1.97,0,0
D00000108,O00000041,S001,R151,2025-12-05 18:57:08,2025-12-05 19:02:08,2025-12-05 19:19:56,30,-22.8,5,1.09,0,0
D00000111,O00000042,S001,R143,2025-12-05 21:50:39,2025-12-05 21:58:39,2025-12-05 22:07:09,30,16.5,8,2.32,0,0
D00000115,O00000044,S001,R187,2025-12-05 08:06:51,2025-12-05 08:14:51,2025-12-05 08:14:51,30,8,8,1.41,0,0
D00000116,O00000045,S001,R086,2025-12-05 12:25:27,2025-12-05 12:29:27,2025-12-05 12:38:39,30,13.2,4,2.17,0,0
D00000117,O00000046,S001,R185,2025-12-05 10:39:48,2025-12-05 10:34:48,2025-12-05 10:48:18,30,8.5,7,1.95,0,No
D00000122,O00000047,S001,R134,2025-12-05 20:49:29,2025-12-05 20:55:29,2025-12-05 21:03:59,30,-14.5,6,2.25,0,0
D00000127,O00000048,S001,R030,2025-12-05 06:07:53,2025-12-05 06:12:53,2025-12-05 06:21:29,30,13.6,5,1.06,0,0
D00000132,O00000049,S001,R075,2025-12-05 18:32:22,2025-12-05 18:39:22,2025-12-05 18:51:22,30,19,7,1.69,0,0
D00000133,O00000050,S001,R190,2025-12-06 13:44:24,2025-12-06 13:46:24,2025-12-06 14:00:00,30,15.6,2,1.41,0,No
D00000136,O00000051,S001,R129,2025-12-06 18:35:40,2025-12-06 18:37:40,2025-12-06 18:54:52,30,19.2,2,1.62,0,0
D00000138,O00000052,S001,R003,2025-12-06 10:26:39,2025-12-06 10:31:39,2025-12-06 10:34:33,30,7.9,5,1.6,0,No
D00000143,O00000053,S001,R198,2025-12-06 19:39:10,2025-12-06 19:47:10,2025-12-06 20:01:10,30,22,8,1.07,0,0
D00000146,O00000054,S001,R051,2025-12-06 14:16:58,2025-12-06 14:22:58,2025-12-06 14:27:16,30,10.3,6,0.5,0,0
D00000148,O00000055,S001,R172,2025-12-06 18:42:39,2025-12-06 18:45:39,2025-12-06 18:55:57,30,13.3,3,1.97,0,No
D00000153,O00000056,S001,R180,2025-12-06 15:16:22,2025-12-06 15:18:22,2025-12-06 15:28:10,30,11.8,2,1.47,0,0
D00000154,O00000057,S001,R062,2025-12-06 11:25:40,2025-12-06 11:27:40,2025-12-06 11:39:58,30,14.3,2,1.54,0,No
D00000159,O00000058,S001,R101,2025-12-06 22:13:30,2025-12-06 22:15:30,2025-12-06 22:27:06,30,13.6,2,1.79,0,0
D00000163,O00000059,S001,R184,2025-12-06 20:32:15,2025-12-06 20:34:15,2025-12-06 20:53:15,30,21,2,0.96,0,No
D00000166,O00000060,S001,R054,2025-12-06 08:48:28,2025-12-06 08:51:28,2025-12-06 09:00:52,30,12.4,3,1.85,0,0
D00000170,O00000061,S001,R129,2025-12-06 21:49:03,2025-12-06 21:57:03,2025-12-06 22:09:03,30,20,8,1.58,0,0
D00000175,O00000062,S001,R160,2025-12-06 17:24:06,2025-12-06 17:29:06,2025-12-06 17:41:54,30,-17.8,5,1.51,0,0
D00000178,O00000063,S001,R160,2025-12-07 20:40:55,2025-12-07 20:47:55,2025-12-07 20:57:07,30,16.2,7,1.59,0,0
D00000179,O00000064,S001,R145,2025-12-07 12:39:24,2025-12-07 12:43:24,2025-12-07 12:51:12,30,11.8,4,1.42,0,0
D00000182,O00000065,S001,R038,2025-12-07 06:27:04,2025-12-07 06:35:04,2025-12-07 06:40:10,30,13.1,8,1.88,0,0
D00000185,O00000066,S001,R139,2025-12-07 22:12:42,2025-12-07 22:19:42,2025-12-07 22:28:48,30,16.1,7,2.5,0,0
D00000190,O00000067,S001,R144,2025-12-07 21:13:12,2025-12-07 21:21:12,2025-12-07 21:30:30,30,17.3,8,1.1,0,0
D00000193,O00000068,S001,R093,2025-12-07 22:09:40,2025-12-07 22:16:40,2025-12-07 22:22:40,30,13,7,1.55,0,0
D00000197,O00000069,S001,R148,2025-12-07 23:55:58,2025-12-07 23:59:58,2025-12-08 00:07:10,30,11.2,4,2.26,0,0
D00000201,O00000070,S001,R195,2025-12-07 08:12:40,2025-12-07 08:15:40,2025-12-07 08:31:22,30,18.7,3,1.25,0,0
D00000206,O00000071,S001,R147,2025-12-07 14:57:59,2025-12-07 15:05:59,2025-12-07 15:13:47,30,15.8,8,1.46,0,0
D00000207,O00000072,S001,R161,2025-12-07 20:43:15,2025-12-07 20:45:15,2025-12-07 21:03:51,30,-20.6,2,1.44,0,No
D00000211,O00000073,S001,R082,2025-12-07 19:14:24,2025-12-07 19:22:24,2025-12-07 19:28:06,30,13.7,8,1.67,0,0
D00000212,O00000074,S001,R178,2025-12-07 08:52:01,2025-12-07 08:54:01,2025-12-07 09:06:49,30,14.8,2,2.04,0,0
D00000215,O00000075,S001,R159,2025-12-07 20:44:24,2025-12-07 20:52:24,2025-12-07 21:03:30,30,19.1,8,2.26,0,0
D00000218,O00000076,S001,R144,2025-12-07 09:59:32,2025-12-07 10:04:32,2025-12-07 10:13:56,30,14.4,5,1.62,0,0
D00000219,O00000077,S001,R112,2025-12-07 09:51:25,2025-12-07 09:54:25,2025-12-07 10:01:25,30,10,3,2.08,0,0
D00000220,O00000078,S001,R129,2025-12-08 19:40:59,2025-12-08 19:43:59,2025-12-08 19:58:11,30,17.2,3,2.48,0,0
D00000223,O00000079,S001,R140,2025-12-08 22:07:28,2025-12-08 22:14:28,2025-12-08 22:22:22,30,,7,3.07,0,0
D00000225,O00000080,S001,R009,2025-12-08 08:50:34,2025-12-08 08:58:34,2025-12-08 09:06:58,30,16.4,8,2.3,0,No
D00000226,O00000081,S001,R099,2025-12-08 21:30:57,2025-12-08 21:32:57,2025-12-08 21:47:33,30,16.6,2,1.88,0,0
D00000230,O00000082,S001,R152,2025-12-08 18:50:57,2025-12-08 18:55:57,2025-12-08 19:13:39,30,22.7,5,2.21,0,0
D00000234,O00000083,S001,R120,2025-12-08 19:44:40,2025-12-08 19:51:40,2025-12-08 20:04:16,30,19.6,7,2.04,0,No
D00000235,O00000084,S001,R099,2025-12-08 19:58:24,2025-12-08 20:05:24,2025-12-08 20:15:18,30,16.9,7,2.23,0,0
D00000237,O00000085,S001,R093,2025-12-08 11:10:09,2025-12-08 11:12:09,2025-12-08 11:16:51,30,6.7,2,2.69,0,0
D00000238,O00000086,S001,R054,2025-12-08 22:56:53,2025-12-08 22:59:53,2025-12-08 23:10:41,30,13.8,3,1.31,0,0
D00000239,O00000087,S001,R189,2025-12-08 22:48:48,2025-12-08 22:52:48,2025-12-08 23:00:24,30,11.6,4,1.25,0,No
D00000243,O00000088,S001,R142,2025-12-08 19:32:48,2025-12-08 19:34:48,2025-12-08 19:56:12,30,23.4,2,2.17,0,No
D00000247,O00000089,S001,R048,2025-12-08 20:43:37,2025-12-08 20:49:37,2025-12-08 21:04:55,30,21.3,6,1.32,0,0
D00000249,O00000090,S001,R195,2025-12-08 19:46:33,2025-12-08 19:54:33,2025-12-08 20:01:27,30,,8,2.18,0,No
D00000251,O00000091,S001,R128,2025-12-08 17:11:26,2025-12-08 17:13:26,2025-12-08 17:25:02,30,13.6,2,2.43,0,0
D00000254,O00000092,S001,R119,2025-12-08 19:08:32,2025-12-08 19:12:32,2025-12-08 19:27:50,30,19.3,4,1.37,0,0
D00000259,O00000093,S001,R158,2025-12-09 00:43:37,2025-12-09 00:50:37,2025-12-09 01:10:25,30,35.5,7,1.87,1,Yes
D00000260,O00000094,S001,R008,2025-12-09 12:05:27,2025-12-09 12:12:27,2025-12-09 12:29:45,30,37.4,7,1.76,1,1
D00000264,O00000095,S001,R027,2025-12-09 13:42:54,2025-12-09 13:46:54,2025-12-09 14:11:06,30,39.8,4,1.97,1,1
D00000269,O00000096,S001,R111,2025-12-09 14:29:10,2025-12-09 14:34:10,2025-12-09 14:56:16,30,41,5,1.81,1,1
D00000274,O00000097,S001,R197,2025-12-09 19:27:08,2025-12-09 19:29:08,2025-12-09 19:59:26,30,44.7,2,2.53,1,Yes
D00000276,O00000098,S001,R035,2025-12-09 14:35:59,2025-12-09 14:40:59,2025-12-09 15:06:29,30,45.2,5,1.8,1,1
D00000279,O00000099,S001,R017,2025-12-09 16:21:47,2025-12-09 16:23:47,2025-12-09 16:44:23,30,29.6,2,1.01,0,1
D00000280,O00000100,S001,R117,2025-12-09 10:24:01,2025-12-09 10:31:01,2025-12-09 10:46:25,30,29.8,7,1.79,0,1
D00000282,O00000101,S001,R099,2025-12-09 13:18:03,2025-12-09 13:25:03,2025-12-09 13:42:51,30,35,7,1.9,1,1
D00000284,O00000102,S001,R099,2025-12-10 16:01:22,2025-12-10 16:09:22,2025-12-10 16:28:34,30,37.6,8,2.1,1,1
D00000287,O00000103,S001,R116,2025-12-10 21:15:41,2025-12-10 21:20:41,2025-12-10 21:47:35,30,44.9,5,0.83,1,1
D00000291,O00000104,S001,R161,2025-12-10 19:17:07,2025-12-10 19:25:07,2025-12-10 19:51:13,30,53.9,8,1.38,1,1
D00000295,O00000105,S001,R128,2025-12-10 07:51:22,2025-12-10 07:55:22,2025-12-10 08:24:46,30,44.2,4,1.04,1,1
D00000299,O00000106,S001,R058,2025-12-10 19:14:20,2025-12-10 19:21:20,2025-12-10 19:44:50,30,43.9,7,1.13,1,1
D00000302,O00000107,S001,R104,2025-12-10 10:00:45,2025-12-10 10:04:45,2025-12-10 10:30:57,30,41.1,4,0.99,1,1
D00000303,O00000108,S001,R155,2025-12-10 18:33:03,2025-12-10 18:41:03,2025-12-10 19:03:27,30,42.8,8,1.23,1,1
D00000307,O00000109,S001,R130,2025-12-10 19:18:30,2025-12-10 19:21:30,2025-12-10 19:44:36,30,39.2,3,2.49,1,Yes
D00000310,O00000110,S001,R043,2025-12-10 09:50:06,2025-12-10 09:52:06,2025-12-10 10:23:54,30,53.8,2,2.24,1,1
D00000313,O00000111,S001,R176,2025-12-11 09:57:55,2025-12-11 10:04:55,2025-12-11 10:22:19,30,-36.8,7,1.58,1,1
D00000323,O00000113,S001,R099,2025-12-11 14:22:36,2025-12-11 14:25:36,2025-12-11 14:47:30,30,39,3,0.9,1,1
D00000324,O00000114,S001,R153,2025-12-11 21:30:45,2025-12-11 21:33:45,2025-12-11 22:10:21,30,53.2,3,2.03,1,1
D00000327,O00000115,S001,R057,2025-12-11 20:08:01,2025-12-11 20:16:01,2025-12-11 20:41:25,30,45.2,8,1.43,1,1
D00000329,O00000116,S001,R173,2025-12-11 20:31:30,2025-12-11 20:36:30,2025-12-11 21:03:24,30,49.9,5,1.9,1,1
D00000331,O00000117,S001,R143,2025-12-11 02:13:59,2025-12-11 02:17:59,2025-12-11 02:38:05,30,35.7,4,1.52,1,1
D00000335,O00000118,S001,R098,2025-12-11 15:07:45,2025-12-11 15:12:45,2025-12-11 15:35:15,30,42.3,5,1.74,1,1
D00000343,O00000120,S001,R051,2025-12-12 07:40:47,2025-12-12 07:47:47,2025-12-12 08:16:17,30,48.5,7,1.88,1,1
D00000345,O00000121,S001,R186,2025-12-12 14:56:19,2025-12-12 14:58:19,2025-12-12 15:19:55,30,33.1,2,1.37,1,1
D00000350,O00000122,S001,R058,2025-12-12 20:54:06,2025-12-12 20:57:06,2025-12-12 21:23:24,30,38.8,3,0.91,1,1
D00000355,O00000123,S001,R049,2025-12-12 09:35:18,2025-12-12 09:42:18,2025-12-12 10:00:18,30,39.2,7,1.98,1,1
D00000357,O00000124,S001,R008,2025-12-12 18:44:32,2025-12-12 18:46:32,2025-12-12 19:12:56,30,45.1,2,1.35,1,Yes
D00000360,O00000125,S001,R060,2025-12-12 20:49:02,2025-12-12 20:55:02,2025-12-12 21:15:44,30,41.6,6,1.63,1,1
D00000365,O00000126,S001,R006,2025-12-12 19:00:23,2025-12-12 19:05:23,2025-12-12 19:29:47,30,42.1,5,2.07,1,1
D00000369,O00000127,S001,R116,2025-12-12 09:30:41,2025-12-12 09:36:41,2025-12-12 09:59:41,30,40.7,6,1.16,1,1
D00000370,O00000128,S001,R144,2025-12-13 18:18:50,2025-12-13 18:23:50,2025-12-13 18:55:02,30,52.1,5,2.63,1,1
D00000371,O00000129,S001,R114,2025-12-13 14:03:41,2025-12-13 14:09:41,2025-12-13 14:27:11,30,35,6,1.43,1,Yes
D00000376,O00000130,S001,R120,2025-12-13 12:15:47,2025-12-13 12:17:47,2025-12-13 12:48:05,30,46.2,2,0.79,1,1
D00000380,O00000131,S001,R019,2025-12-13 21:51:21,2025-12-13 21:59:21,2025-12-13 22:18:39,30,38.9,8,1.89,1,1
D00000383,O00000132,S001,R117,2025-12-13 05:41:51,2025-12-13 05:47:51,2025-12-13 06:09:57,30,40.2,6,1.4,1,Yes
D00000384,O00000133,S001,R023,2025-12-13 19:50:10,2025-12-13 19:57:10,2025-12-13 20:13:10,30,35,7,1.74,1,1
D00000388,O00000134,S001,R058,2025-12-13 22:02:26,2025-12-13 22:04:26,2025-12-13 22:27:20,30,38.2,2,2.69,1,Yes
D00000389,O00000135,S001,R001,2025-12-13 18:31:59,2025-12-13 18:34:59,2025-12-13 19:10:53,30,60.7,3,1.46,1,1
D00000392,O00000136,S001,R048,2025-12-13 22:33:03,2025-12-13 22:40:03,2025-12-13 23:04:09,30,42.7,7,1.03,1,1
D00000395,O00000137,S001,R117,2025-12-13 06:34:27,2025-12-13 06:36:27,2025-12-13 07:06:15,30,42.8,2,1.63,1,1
D00000399,O00000138,S001,R069,2025-12-13 15:32:20,2025-12-13 15:40:20,2025-12-13 16:02:20,30,42.1,8,1.94,1,1
D00000406,O00000140,S001,R093,2025-12-13 20:34:56,2025-12-13 20:41:56,2025-12-13 21:08:08,30,47.3,7,2.92,1,1
D00000408,O00000141,S001,R086,2025-12-14 19:25:37,2025-12-14 19:29:37,2025-12-14 19:53:43,30,42.4,4,1.04,1,1
D00000410,O00000142,S001,R029,2025-12-14 18:59:54,2025-12-14 19:01:54,2025-12-14 19:34:30,30,52.8,2,1.56,1,1
D00000414,O00000143,S001,R176,2025-12-14 08:03:58,2025-12-14 08:06:58,2025-12-14 08:37:04,30,52.8,3,1.68,1,1
D00000415,O00000144,S001,R039,2025-12-14 16:48:47,2025-12-14 16:54:47,2025-12-14 17:12:53,30,34.1,6,2.74,1,1
D00000417,O00000145,S001,R023,2025-12-14 16:52:08,2025-12-14 16:58:08,2025-12-14 17:26:56,30,49.4,6,1.56,1,Yes
D00000418,O00000146,S001,R010,2025-12-14 21:11:45,2025-12-14 21:14:45,2025-12-14 21:48:33,30,53.8,3,0.75,1,1
D00000420,O00000147,S001,R004,2025-12-14 18:50:03,2025-12-14 18:56:03,2025-12-14 19:23:03,30,51,6,1.8,1,Yes
D00000423,O00000148,S001,R002,2025-12-14 13:17:16,2025-12-14 13:25:16,2025-12-14 13:37:16,30,30,8,2.18,0,1
D00000426,O00000149,S001,R084,2025-12-14 22:19:55,2025-12-14 22:23:55,2025-12-14 22:51:31,30,,4,1.83,1,1
D00000429,O00000150,S001,R178,2025-12-14 07:23:36,2025-12-14 07:28:36,2025-12-14 07:48:24,30,37.1,5,1.61,1,Yes
D00000434,O00000151,S001,R179,2025-12-14 15:47:32,2025-12-14 15:53:32,2025-12-14 16:18:50,30,45.1,6,1.28,1,1
D00000436,O00000152,S001,R101,2025-12-14 06:32:11,2025-12-14 06:36:11,2025-12-14 06:52:17,30,30.7,4,1.9,1,1
D00000438,O00000153,S001,R043,2025-12-14 20:53:08,2025-12-14 20:56:08,2025-12-14 21:27:38,30,45.6,3,2.37,1,1
D00000440,O00000154,S001,R029,2025-12-15 16:23:56,2025-12-15 16:28:56,2025-12-15 16:47:38,30,34.4,5,2.02,1,1
D00000443,O00000155,S001,R154,2025-12-15 07:27:43,2025-12-15 07:33:43,2025-12-15 07:54:13,30,40.9,6,1.56,1,Yes
D00000445,O00000156,S001,R090,2025-12-15 14:06:03,2025-12-15 14:09:03,2025-12-15 14:25:33,30,27.1,3,1.9,0,Yes
D00000449,O00000157,S001,R196,2025-12-15 21:00:30,2025-12-15 21:08:30,2025-12-15 21:34:36,30,53,8,1.18,1,Yes
D00000452,O00000158,S001,R114,2025-12-15 20:58:14,2025-12-15 21:01:14,2025-12-15 21:26:38,30,43.6,3,1.39,1,Yes
D00000454,O00000159,S001,R021,2025-12-15 09:59:08,2025-12-15 10:04:08,2025-12-15 10:27:20,30,41.6,5,2.25,1,1
D00000458,O00000160,S001,R164,2025-12-15 16:20:45,2025-12-15 16:26:45,2025-12-15 16:45:27,30,34,6,1.95,1,1
D00000459,O00000161,S001,R177,2025-12-16 08:57:18,2025-12-16 09:01:18,2025-12-16 09:19:18,30,34.3,4,2.08,1,1
D00000463,O00000162,S001,R036,2025-12-16 16:45:57,2025-12-16 16:49:57,2025-12-16 17:17:57,30,41.9,4,1.44,1,Yes
D00000466,O00000163,S001,R190,2025-12-16 19:23:22,2025-12-16 19:31:22,2025-12-16 19:47:34,30,35.8,8,2.44,1,1
D00000469,O00000164,S001,R012,2025-12-16 17:08:07,2025-12-16 17:03:07,2025-12-16 17:48:49,30,62.5,6,1.5,1,Yes
D00000472,O00000166,S001,R099,2025-12-16 23:20:15,2025-12-16 23:22:15,2025-12-16 23:51:39,30,45.4,2,2.58,1,1
D00000475,O00000167,S001,R030,2025-12-16 21:00:35,2025-12-16 21:02:35,2025-12-16 21:34:41,30,45.4,2,1.58,1,1
D00000480,O00000168,S001,R086,2025-12-16 19:44:31,2025-12-16 19:46:31,2025-12-16 20:12:43,30,43.7,2,1.81,1,1
D00000483,O00000169,S001,R187,2025-12-16 18:30:59,2025-12-16 18:36:59,2025-12-16 19:02:35,30,49.7,6,2.27,1,Yes
D00000484,O00000170,S001,R128,2025-12-17 09:22:31,2025-12-17 09:17:31,2025-12-17 09:46:37,30,35.4,8,2,1,Yes
D00000488,O00000171,S001,R083,2025-12-17 19:11:54,2025-12-17 19:16:54,2025-12-17 19:36:54,30,38.4,5,1.74,1,1
D00000489,O00000172,S001,R099,2025-12-17 22:17:31,2025-12-17 22:23:31,2025-12-17 22:48:25,30,45.8,6,1.37,1,Yes
D00000491,O00000173,S001,R025,2025-12-17 18:00:42,2025-12-17 18:05:42,2025-12-17 18:28:30,30,40.9,5,1.79,1,1
D00000494,O00000174,S001,R151,2025-12-17 13:59:26,2025-12-17 14:05:26,2025-12-17 14:33:14,30,45.3,6,1.08,1,1
D00000499,O00000175,S001,R039,2025-12-17 19:34:46,2025-12-17 19:36:46,2025-12-17 20:05:52,30,44.5,2,1.93,1,1
D00000500,O00000176,S001,R142,2025-12-17 08:01:15,2025-12-17 08:09:15,2025-12-17 08:28:33,30,41,8,1.79,1,1
D00000502,O00000177,S001,R122,2025-12-17 21:23:07,2025-12-17 21:31:07,2025-12-17 21:54:19,30,44.8,8,1.35,1,1
D00000503,O00000178,S001,R075,2025-12-18 11:45:12,2025-12-18 11:49:12,2025-12-18 12:14:06,30,,4,2.29,1,1
D00000504,O00000179,S001,R076,2025-12-18 13:02:46,2025-12-18 13:05:46,2025-12-18 13:26:58,30,38,3,1.73,1,1
D00000505,O00000180,S001,R007,2025-12-18 06:00:19,2025-12-18 06:02:19,2025-12-18 06:28:07,30,39.2,2,2.24,1,Yes
D00000506,O00000181,S001,R141,2025-12-18 08:53:52,2025-12-18 09:00:52,2025-12-18 09:11:10,30,26.8,7,2.05,0,1
D00000511,O00000182,S001,R122,2025-12-18 17:24:55,2025-12-18 17:28:55,2025-12-18 17:47:19,30,29.3,4,1.55,0,1
D00000515,O00000183,S001,R005,2025-12-18 10:10:14,2025-12-18 10:13:14,2025-12-18 10:35:56,30,40,3,1.12,1,Yes
D00000517,O00000184,S001,R065,2025-12-18 21:07:39,2025-12-18 21:13:39,2025-12-18 21:46:27,30,51.7,6,1.01,1,1
D00000520,O00000185,S001,R145,2025-12-19 01:17:13,2025-12-19 01:24:13,2025-12-19 01:43:07,30,36.2,7,1.84,1,Yes
D00000527,O00000187,S001,R019,2025-12-19 16:42:42,2025-12-19 16:50:42,2025-12-19 17:09:42,30,39.3,8,1.47,1,1
D00000528,O00000188,S001,R108,2025-12-19 08:21:28,2025-12-19 08:27:28,2025-12-19 08:44:46,30,34.8,6,2.48,1,1
D00000534,O00000191,S001,R019,2025-12-19 10:48:38,2025-12-19 10:51:38,2025-12-19 11:20:08,30,50,3,0.78,1,1
D00000538,O00000192,S001,R126,2025-12-19 17:21:33,2025-12-19 17:29:33,2025-12-19 17:48:57,30,38.1,8,2.59,1,1
D00000542,O00000193,S001,R126,2025-12-19 19:41:19,2025-12-19 19:46:19,2025-12-19 20:14:31,30,44,5,1.65,1,Yes
D00000545,O00000194,S001,R148,2025-12-19 07:23:26,2025-12-19 07:26:26,2025-12-19 07:50:32,30,39,3,1.8,1,1
D00000547,O00000195,S001,R092,2025-12-20 11:03:27,2025-12-20 11:09:27,2025-12-20 11:30:39,30,38.2,6,2.44,1,Yes
D00000552,O00000196,S001,R191,2025-12-20 22:54:30,2025-12-20 23:01:30,2025-12-20 23:28:36,30,50.5,7,2.19,1,Yes
D00000554,O00000197,S001,R166,2025-12-20 14:03:47,2025-12-20 14:05:47,2025-12-20 14:31:17,30,43.4,2,1.38,1,1
D00000555,O00000198,S001,R134,2025-12-20 18:40:23,2025-12-20 18:46:23,2025-12-20 19:10:41,30,45.2,6,1.78,1,1
D00000558,O00000199,S001,R164,2025-12-20 18:05:19,2025-12-20 18:12:19,2025-12-20 18:44:25,30,57.6,7,0.85,1,1
D00000563,O00000200,S001,R147,2025-12-20 18:03:23,2025-12-20 18:07:23,2025-12-20 18:40:11,30,-50.6,4,2.1,1,1
D00000564,O00000201,S001,R049,2025-12-20 07:00:04,2025-12-20 07:02:04,2025-12-20 07:28:58,30,39.9,2,1.81,1,Yes
D00000567,O00000202,S001,R143,2025-12-20 13:50:56,2025-12-20 13:57:56,2025-12-20 14:22:20,30,44.9,7,2.05,1,1
D00000570,O00000203,S001,R003,2025-12-20 20:26:11,2025-12-20 20:33:11,2025-12-20 21:03:17,30,58.2,7,2.88,1,Yes
