customer_id,city,locality,age_group,acquisition_channel,signup_date,is_app_user
C00083,Bengaluru,HSR Layout,18-24,influencer,2024-08-25 00:00:00,1
C00084,Bengaluru,Indiranagar,25-34,COUPON,2024-07-24 00:00:00,1
C00085,Bengaluru,HSR Layout,18-24,PAID_APP_INSTALL,2024-07-21 00:00:00,0
C00086,Bengaluru,HSR Layout,25-34,Referral,2024-09-19 00:00:00,1
C00087,Bengaluru,Jayanagar,35-44,referral,2025-02-12 00:00:00,1
C00088,Bengaluru,Marathahalli,25-34,organic,2024-07-12 00:00:00,1
C00089,Bengaluru,Electronic City,35-44,referral,2025-01-09 00:00:00,1
C00090,Bengaluru,Whitefield,25-34,organic,2024-06-04 00:00:00,1
C00091,Bengaluru,Indiranagar,25-34,word_of_mouth,2024-09-06 00:00:00,1
C00092,Bengaluru,Jayanagar,25-34,influencer,2025-02-25 00:00:00,1
C00093,Bengaluru,Jayanagar,18-24,Organic,2024-08-14 00:00:00,1
C00094,Bengaluru,BTM Layout,35-44,referral,2024-10-28 00:00:00,1
C00095,Bengaluru,Bellandur,35-44,influencer,2024-07-12 00:00:00,1
C00096,,BTM Layout,25-34,influencer,2025-01-30 00:00:00,1
C00097,Bengaluru,BTM Layout,18-24,Organic,2024-06-10 00:00:00,1
C00098,,Whitefield,45-54,word_of_mouth,2025-05-11 00:00:00,0
C00099,Bengaluru,Indiranagar,35-44,organic,2024-07-10 00:00:00,1
C00100,Bengaluru,Indiranagar,35-44,Organic,2025-06-09 00:00:00,1
C00101,Bengaluru,Indiranagar,25-34,organic,2024-08-18 00:00:00,1
C00102,Bengaluru,Marathahalli,25-34,Influencer,2025-01-17 00:00:00,1
C00103,Bengaluru,HSR Layout,55+,organic,2024-08-09 00:00:00,1
C00104,Bengaluru,BTM Layout,35-44,organic,2025-07-31 00:00:00,1
C00105,Bengaluru,Electronic City,25-34,referral,2024-06-25 00:00:00,1
C00106,Bengaluru,Koramangala,35-44,influencer,2024-07-06 00:00:00,1
C00107,Bengaluru,Whitefield,35-44,organic,2024-10-01 00:00:00,1
C00108,Bengaluru,Jayanagar,25-34,referral,2024-06-16 00:00:00,1
C00109,Bengaluru,Koramangala,25-34,Referral,2024-07-10 00:00:00,1
C00110,Bengaluru,Indiranagar,25-34,organic,2025-11-01 00:00:00,1
C00111,Bengaluru,HSR Layout,18-24,REFERRAL,2026-03-31 00:00:00,1
C00112,Bengaluru,Koramangala,35-44,organic,2024-08-24 00:00:00,1
C00113,Bengaluru,Electronic City,25-34,organic,2025-09-06 00:00:00,1
C00114,,Bellandur,35-44,REFERRAL,2024-10-20 00:00:00,0
C00115,Bengaluru,Marathahalli,55+,organic,2024-07-27 00:00:00,1
C00116,Bengaluru,Electronic City,18-24,organic,2025-01-05 00:00:00,1
C00117,Bengaluru,Bellandur,25-34,referral,2024-12-11 00:00:00,1
C00118,Bengaluru,Koramangala,35-44,coupon,2026-03-31 00:00:00,1
C00119,Bengaluru,Electronic City,35-44,paid_app_install,2024-07-26 00:00:00,0
C00120,Bengaluru,BTM Layout,35-44,paid_app_install,2024-12-18 00:00:00,1
C00121,Bengaluru,Bellandur,25-34,coupon,2024-06-10 00:00:00,1
C00122,Bengaluru,Electronic City,25-34,word_of_mouth,2024-06-22 00:00:00,1
C00123,Bengaluru,HSR Layout,25-34,paid_app_install,2024-06-01 00:00:00,1
C00124,Bengaluru,Indiranagar,55+,influencer,2026-03-31 00:00:00,1
C00125,Bengaluru,Koramangala,25-34,referral,2025-03-19 00:00:00,1
C00126,Bengaluru,Whitefield,45-54,organic,2025-03-06 00:00:00,1
C00127,Bengaluru,Bellandur,25-34,influencer,2024-10-07 00:00:00,1
C00128,Bengaluru,Electronic City,55+,word_of_mouth,2024-08-04 00:00:00,1
C00129,Bengaluru,Indiranagar,35-44,referral,2024-06-30 00:00:00,1
C00130,Bengaluru,BTM Layout,25-34,paid_app_install,2024-07-31 00:00:00,0
C00131,Bengaluru,Whitefield,35-44,referral,2024-08-24 00:00:00,1
C00132,Bengaluru,Koramangala,25-34,referral,2025-02-10 00:00:00,0
C00133,Bengaluru,Indiranagar,25-34,referral,2024-10-18 00:00:00,1
C00134,Bengaluru,HSR Layout,18-24,referral,2024-06-15 00:00:00,1
C00135,Bengaluru,Yelahanka,18-24,referral,2024-06-04 00:00:00,1
C00136,,HSR Layout,25-34,paid_app_install,2024-06-20 00:00:00,1
C00137,Bengaluru,BTM Layout,35-44,coupon,2024-09-04 00:00:00,1
C00138,Bengaluru,Jayanagar,35-44,coupon,2025-10-01 00:00:00,1
C00139,Bengaluru,HSR Layout,18-24,organic,2024-11-30 00:00:00,1
C00140,Bengaluru,Yelahanka,45-54,Coupon,2025-03-19 00:00:00,1
C00141,Bengaluru,Yelahanka,35-44,referral,2024-09-22 00:00:00,1
C00142,Bengaluru,Koramangala,55+,referral,2024-08-20 00:00:00,0
C00143,Bengaluru,BTM Layout,35-44,PAID_APP_INSTALL,2024-06-21 00:00:00,1
C00144,Bengaluru,HSR Layout,18-24,referral,2025-06-11 00:00:00,1
C00145,Bengaluru,HSR Layout,25-34,ORGANIC,2025-03-03 00:00:00,1
C00146,Bengaluru,Indiranagar,35-44,referral,2024-07-04 00:00:00,1
C00147,Bengaluru,Marathahalli,18-24,paid_app_install,2024-10-08 00:00:00,1
C00148,Bengaluru,BTM Layout,18-24,referral,2024-09-29 00:00:00,1
C00149,Bengaluru,Indiranagar,18-24,influencer,2024-11-24 00:00:00,1
C00150,,HSR Layout,25-34,Influencer,2025-11-09 00:00:00,1
C00151,Bengaluru,Electronic City,25-34,Paid_App_Install,2024-11-04 00:00:00,1
C00152,Bengaluru,Koramangala,25-34,coupon,2024-10-18 00:00:00,1
C00153,,Koramangala,18-24,referral,2024-06-10 00:00:00,1
C00154,Bengaluru,Whitefield,35-44,organic,2024-06-12 00:00:00,1
C00155,Bengaluru,Yelahanka,25-34,referral,2024-07-08 00:00:00,1
C00156,Bengaluru,Koramangala,25-34,referral,2024-06-06 00:00:00,1
C00157,Bengaluru,Marathahalli,18-24,PAID_APP_INSTALL,2025-01-31 00:00:00,1
C00158,Bengaluru,Jayanagar,18-24,organic,2025-01-18 00:00:00,1
C00159,Bengaluru,Koramangala,25-34,referral,2024-06-27 00:00:00,0
C00160,Bengaluru,Jayanagar,18-24,paid_app_install,2025-04-22 00:00:00,1
C00161,Bengaluru,HSR Layout,25-34,influencer,2024-07-01 00:00:00,0
C00162,Bengaluru,Marathahalli,35-44,paid_app_install,2024-08-04 00:00:00,0
C00163,Bengaluru,Marathahalli,25-34,paid_app_install,2024-07-22 00:00:00,1
C00164,Bengaluru,BTM Layout,25-34,paid_app_install,2024-08-23 00:00:00,1
C00165,Bengaluru,Indiranagar,25-34,influencer,2024-07-23 00:00:00,1
C00166,Bengaluru,Bellandur,35-44,referral,2024-09-29 00:00:00,1
C00167,Bengaluru,HSR Layout,45-54,WORD_OF_MOUTH,2024-09-03 00:00:00,0
C00168,Bengaluru,Koramangala,35-44,Influencer,2026-03-31 00:00:00,1
C00169,Bengaluru,Indiranagar,25-34,Organic,2024-06-11 00:00:00,0
C00170,Bengaluru,Marathahalli,25-34,Organic,2024-06-28 00:00:00,1
C00171,Bengaluru,Marathahalli,25-34,INFLUENCER,2024-06-10 00:00:00,1
C00172,Bengaluru,Indiranagar,45-54,coupon,2024-11-24 00:00:00,1
C00173,Bengaluru,BTM Layout,18-24,organic,2024-06-11 00:00:00,1
C00174,Bengaluru,Koramangala,55+,organic,2025-04-22 00:00:00,1
C00175,Bengaluru,Marathahalli,35-44,Coupon,2024-10-08 00:00:00,1
C00176,Bengaluru,Koramangala,35-44,coupon,2024-10-13 00:00:00,0
C00177,Bengaluru,Jayanagar,18-24,organic,2024-10-27 00:00:00,1
C00178,Bengaluru,HSR Layout,35-44,Referral,2024-07-04 00:00:00,0
C00179,Bengaluru,Yelahanka,25-34,influencer,2024-07-10 00:00:00,0
C00180,Bengaluru,Indiranagar,18-24,referral,2024-08-09 00:00:00,1
C00181,Bengaluru,HSR Layout,25-34,coupon,2024-11-10 00:00:00,1
C00182,Bengaluru,Indiranagar,45-54,Organic,2024-07-13 00:00:00,1
C00183,Bengaluru,Electronic City,25-34,organic,2024-06-23 00:00:00,1
C00184,Bengaluru,Electronic City,25-34,organic,2026-02-22 00:00:00,1
C00185,Bengaluru,Koramangala,18-24,organic,2024-06-05 00:00:00,1
C00186,Bengaluru,Marathahalli,35-44,organic,2025-03-20 00:00:00,0
C00187,Bengaluru,Bellandur,35-44,organic,2025-03-07 00:00:00,1
C00188,Bengaluru,BTM Layout,35-44,paid_app_install,2024-08-03 00:00:00,1
C00189,Bengaluru,BTM Layout,25-34,organic,2024-06-27 00:00:00,0
C00190,Bengaluru,Koramangala,25-34,coupon,2024-06-29 00:00:00,1
C00191,Bengaluru,Indiranagar,25-34,referral,2025-01-02 00:00:00,1
C00192,Bengaluru,Electronic City,25-34,influencer,2024-12-03 00:00:00,1
C00193,Bengaluru,Electronic City,45-54,organic,2025-03-02 00:00:00,1
C00194,Bengaluru,Marathahalli,25-34,organic,2025-10-13 00:00:00,1
C00195,Bengaluru,HSR Layout,25-34,influencer,2024-12-29 00:00:00,0
C00196,Bengaluru,HSR Layout,25-34,influencer,2024-07-01 00:00:00,1
C00197,Bengaluru,Jayanagar,35-44,paid_app_install,2024-07-21 00:00:00,1
C00198,Bengaluru,Electronic City,18-24,paid_app_install,2025-04-29 00:00:00,1
C00199,Bengaluru,Electronic City,25-34,influencer,2024-07-13 00:00:00,1
C00200,Bengaluru,Bellandur,35-44,referral,2024-06-14 00:00:00,0
C00201,,Marathahalli,25-34,coupon,2025-01-05 00:00:00,1
C00202,Bengaluru,Indiranagar,35-44,influencer,2024-09-01 00:00:00,1
C00203,Bengaluru,Koramangala,18-24,word_of_mouth,2025-08-29 00:00:00,0
C00204,Bengaluru,Electronic City,35-44,paid_app_install,2024-12-07 00:00:00,1
C00205,Bengaluru,Marathahalli,18-24,organic,2024-06-18 00:00:00,1
C00206,,Indiranagar,18-24,REFERRAL,2025-11-14 00:00:00,1
C00207,Bengaluru,Indiranagar,45-54,influencer,2024-07-24 00:00:00,1
C00208,Bengaluru,Marathahalli,25-34,paid_app_install,2024-08-14 00:00:00,1
C00209,Bengaluru,Indiranagar,25-34,influencer,2024-09-01 00:00:00,1
C00210,Bengaluru,Koramangala,25-34,paid_app_install,2024-06-10 00:00:00,1
C00211,Bengaluru,BTM Layout,35-44,organic,2024-10-02 00:00:00,1
C00212,Bengaluru,Jayanagar,25-34,ORGANIC,2024-06-24 00:00:00,0
C00213,Bengaluru,Marathahalli,55+,organic,2024-09-01 00:00:00,1
C00214,Bengaluru,Koramangala,55+,influencer,2024-08-17 00:00:00,1
C00215,Bengaluru,Jayanagar,35-44,INFLUENCER,2025-02-22 00:00:00,0
C00216,Bengaluru,Koramangala,25-34,referral,2025-03-20 00:00:00,1
C00217,Bengaluru,HSR Layout,25-34,influencer,2024-06-30 00:00:00,1
C00218,Bengaluru,Jayanagar,35-44,organic,2024-08-22 00:00:00,1
C00219,,Marathahalli,18-24,organic,2024-08-24 00:00:00,0
C00220,Bengaluru,Bellandur,25-34,PAID_APP_INSTALL,2024-06-30 00:00:00,0
C00221,Bengaluru,Marathahalli,18-24,referral,2025-03-16 00:00:00,1
C00222,Bengaluru,BTM Layout,18-24,Influencer,2025-01-08 00:00:00,0
C00223,Bengaluru,Indiranagar,25-34,paid_app_install,2024-07-09 00:00:00,1
C00224,Bengaluru,HSR Layout,25-34,coupon,2024-08-22 00:00:00,0
C00225,Bengaluru,Koramangala,35-44,organic,2024-06-21 00:00:00,1
C00226,Bengaluru,Koramangala,25-34,referral,2024-11-26 00:00:00,1
C00227,Bengaluru,Yelahanka,25-34,paid_app_install,2024-06-24 00:00:00,1
C00228,Bengaluru,Whitefield,18-24,Paid_App_Install,2026-03-31 00:00:00,1
C00229,Bengaluru,Electronic City,25-34,paid_app_install,2025-03-01 00:00:00,1
C00230,Bengaluru,Marathahalli,25-34,organic,2024-08-29 00:00:00,1
C00231,Bengaluru,Bellandur,35-44,Organic,2024-11-03 00:00:00,1
C00232,Bengaluru,BTM Layout,55+,influencer,2025-08-11 00:00:00,1
C00233,Bengaluru,BTM Layout,18-24,paid_app_install,2024-10-24 00:00:00,1
C00234,Bengaluru,BTM Layout,25-34,referral,2024-07-05 00:00:00,1
C00235,Bengaluru,Koramangala,25-34,organic,2024-08-25 00:00:00,1
C00236,Bengaluru,Jayanagar,55+,paid_app_install,2025-04-30 00:00:00,0
C00237,Bengaluru,HSR Layout,35-44,organic,2024-12-04 00:00:00,1
C00238,Bengaluru,Indiranagar,45-54,organic,2024-12-07 00:00:00,1
C00239,Bengaluru,Marathahalli,25-34,ORGANIC,2025-05-29 00:00:00,0
C00240,Bengaluru,Koramangala,55+,REFERRAL,2025-07-09 00:00:00,1
C00241,Bengaluru,Yelahanka,18-24,Influencer,2025-08-29 00:00:00,1
C00242,Bengaluru,Yelahanka,18-24,referral,2024-06-18 00:00:00,1
C00243,Bengaluru,Electronic City,45-54,organic,2024-10-20 00:00:00,1
C00244,Bengaluru,HSR Layout,45-54,organic,2025-01-29 00:00:00,1
C00245,Bengaluru,Indiranagar,18-24,organic,2025-02-10 00:00:00,1
C00246,Bengaluru,Electronic City,18-24,INFLUENCER,2024-11-15 00:00:00,1
C00247,Bengaluru,Whitefield,18-24,organic,2024-07-03 00:00:00,1
C00248,Bengaluru,Yelahanka,18-24,Influencer,2025-03-15 00:00:00,1
C00249,Bengaluru,Yelahanka,25-34,organic,2025-01-16 00:00:00,1
C00250,Bengaluru,Electronic City,55+,organic,2024-06-17 00:00:00,1
C00251,Bengaluru,HSR Layout,35-44,organic,2024-09-21 00:00:00,1
C00252,Bengaluru,HSR Layout,35-44,Organic,2024-07-05 00:00:00,0
C00253,Bengaluru,Electronic City,35-44,Influencer,2024-08-14 00:00:00,1
C00254,Bengaluru,HSR Layout,25-34,referral,2024-06-04 00:00:00,0
C00255,Bengaluru,Koramangala,35-44,Paid_App_Install,2024-09-01 00:00:00,1
C00256,Bengaluru,BTM Layout,25-34,organic,2024-10-22 00:00:00,1
C00257,Bengaluru,Yelahanka,25-34,organic,2024-11-21 00:00:00,1
C00258,Bengaluru,Jayanagar,25-34,referral,2024-12-14 00:00:00,1
C00259,Bengaluru,BTM Layout,25-34,paid_app_install,2025-04-22 00:00:00,0
C00260,Bengaluru,Indiranagar,35-44,referral,2024-07-14 00:00:00,1
C00261,,Marathahalli,55+,referral,2024-06-24 00:00:00,1
C00262,Bengaluru,Yelahanka,25-34,referral,2025-05-10 00:00:00,1
C00263,,Koramangala,35-44,organic,2024-07-01 00:00:00,1
C00264,Bengaluru,BTM Layout,18-24,coupon,2026-03-25 00:00:00,1
C00265,Bengaluru,Electronic City,35-44,influencer,2025-04-29 00:00:00,0
C00266,Bengaluru,Jayanagar,25-34,paid_app_install,2024-10-04 00:00:00,1
C00267,Bengaluru,Jayanagar,18-24,influencer,2026-03-31 00:00:00,0
C00268,Bengaluru,Jayanagar,25-34,referral,2024-06-19 00:00:00,1
C00269,Bengaluru,HSR Layout,35-44,organic,2024-08-04 00:00:00,1
C00270,Bengaluru,HSR Layout,18-24,influencer,2024-12-01 00:00:00,1
C00271,Bengaluru,Bellandur,45-54,Organic,2024-08-17 00:00:00,1
C00272,Bengaluru,Bellandur,18-24,referral,2025-09-18 00:00:00,1
C00273,Bengaluru,Electronic City,45-54,influencer,2024-06-13 00:00:00,1
C00274,Bengaluru,Electronic City,35-44,paid_app_install,2024-10-22 00:00:00,1
C00275,Bengaluru,BTM Layout,25-34,influencer,2024-11-08 00:00:00,1
C00276,Bengaluru,BTM Layout,25-34,influencer,2024-12-08 00:00:00,1
C00277,Bengaluru,Bellandur,35-44,organic,2024-07-24 00:00:00,1
C00278,Bengaluru,Marathahalli,35-44,referral,2024-08-21 00:00:00,1
C00279,Bengaluru,Jayanagar,35-44,Organic,2025-05-01 00:00:00,1
C00280,Bengaluru,Bellandur,25-34,paid_app_install,2024-07-10 00:00:00,1
C00281,Bengaluru,Electronic City,25-34,word_of_mouth,2025-04-12 00:00:00,1
C00282,Bengaluru,HSR Layout,55+,organic,2024-10-27 00:00:00,1
C00283,Bengaluru,HSR Layout,25-34,organic,2025-02-14 00:00:00,1
C00284,Bengaluru,Indiranagar,25-34,referral,2025-01-12 00:00:00,1
C00285,Bengaluru,BTM Layout,25-34,coupon,2024-07-12 00:00:00,1
C00286,Bengaluru,Indiranagar,35-44,influencer,2024-10-30 00:00:00,1
C00287,Bengaluru,Whitefield,35-44,organic,2025-05-31 00:00:00,1
C00288,Bengaluru,BTM Layout,25-34,word_of_mouth,2024-09-10 00:00:00,1
C00289,Bengaluru,HSR Layout,18-24,paid_app_install,2026-02-02 00:00:00,1
C00290,Bengaluru,Marathahalli,18-24,organic,2024-09-17 00:00:00,1
C00291,Bengaluru,Indiranagar,25-34,COUPON,2024-06-28 00:00:00,1
C00292,Bengaluru,Indiranagar,25-34,REFERRAL,2024-08-28 00:00:00,1
C00293,Bengaluru,Bellandur,55+,REFERRAL,2025-11-28 00:00:00,1
C00294,Bengaluru,HSR Layout,25-34,REFERRAL,2024-08-09 00:00:00,1
C00295,Bengaluru,Indiranagar,25-34,paid_app_install,2025-05-31 00:00:00,1
C00296,Bengaluru,BTM Layout,45-54,influencer,2025-06-19 00:00:00,1
C00297,Bengaluru,Jayanagar,25-34,organic,2024-08-17 00:00:00,1
C00298,Bengaluru,Koramangala,25-34,word_of_mouth,2024-06-16 00:00:00,1
C00299,Bengaluru,Marathahalli,18-24,Organic,2025-01-19 00:00:00,1
C00300,Bengaluru,Indiranagar,25-34,paid_app_install,2024-08-07 00:00:00,1
C00301,Bengaluru,Indiranagar,45-54,influencer,2025-03-02 00:00:00,0
C00302,Bengaluru,BTM Layout,25-34,organic,2024-09-14 00:00:00,1
C00303,Bengaluru,BTM Layout,25-34,organic,2024-09-28 00:00:00,0
C00304,Bengaluru,Marathahalli,35-44,coupon,2025-02-26 00:00:00,1
C00305,,Jayanagar,45-54,referral,2024-08-26 00:00:00,1
C00306,Bengaluru,Yelahanka,25-34,INFLUENCER,2024-09-14 00:00:00,1
C00307,Bengaluru,BTM Layout,25-34,referral,2024-08-24 00:00:00,1
C00308,Bengaluru,HSR Layout,55+,paid_app_install,2024-08-22 00:00:00,1
C00309,Bengaluru,Bellandur,18-24,REFERRAL,2024-10-13 00:00:00,1
C00310,Bengaluru,HSR Layout,35-44,organic,2025-03-25 00:00:00,1
C00311,Bengaluru,Whitefield,35-44,referral,2024-08-20 00:00:00,1
C00312,Bengaluru,Indiranagar,35-44,coupon,2024-10-12 00:00:00,1
C00313,Bengaluru,Indiranagar,25-34,Referral,2024-12-17 00:00:00,1
C00314,Bengaluru,Yelahanka,25-34,organic,2024-07-27 00:00:00,1
C00315,Bengaluru,Bellandur,35-44,coupon,2024-07-29 00:00:00,1
C00316,Bengaluru,Jayanagar,25-34,paid_app_install,2025-10-01 00:00:00,1
C00317,Bengaluru,Whitefield,25-34,organic,2025-01-18 00:00:00,1
C00318,Bengaluru,Koramangala,25-34,word_of_mouth,2024-11-02 00:00:00,1
C00319,Bengaluru,Koramangala,18-24,influencer,2024-12-05 00:00:00,1
C00320,Bengaluru,Koramangala,55+,organic,2024-06-06 00:00:00,1
C00321,Bengaluru,BTM Layout,25-34,organic,2024-11-21 00:00:00,1
C00322,Bengaluru,Jayanagar,55+,influencer,2024-10-07 00:00:00,1
C00323,Bengaluru,Marathahalli,18-24,PAID_APP_INSTALL,2024-10-21 00:00:00,1
C00324,Bengaluru,HSR Layout,25-34,ORGANIC,2024-08-20 00:00:00,1
C00325,Bengaluru,Yelahanka,25-34,ORGANIC,2024-06-16 00:00:00,1
C00326,Bengaluru,Jayanagar,35-44,REFERRAL,2024-07-09 00:00:00,0
C00327,Bengaluru,BTM Layout,35-44,influencer,2025-11-24 00:00:00,1
C00328,,Marathahalli,18-24,organic,2024-09-03 00:00:00,1
C00329,Bengaluru,Whitefield,45-54,organic,2024-09-22 00:00:00,1
C00330,Bengaluru,Koramangala,25-34,influencer,2024-06-10 00:00:00,1
C00331,Bengaluru,HSR Layout,35-44,paid_app_install,2024-06-07 00:00:00,1
C00332,Bengaluru,Jayanagar,55+,referral,2025-01-14 00:00:00,1
C00333,Bengaluru,Indiranagar,45-54,referral,2024-10-18 00:00:00,1
C00334,Bengaluru,Indiranagar,55+,REFERRAL,2024-10-06 00:00:00,1
C00335,Bengaluru,Indiranagar,25-34,Referral,2024-07-21 00:00:00,1
C00336,Bengaluru,Indiranagar,18-24,word_of_mouth,2025-02-01 00:00:00,1
C00337,Bengaluru,Electronic City,25-34,PAID_APP_INSTALL,2024-07-04 00:00:00,1
C00338,Bengaluru,Jayanagar,25-34,organic,2024-07-08 00:00:00,1
C00339,Bengaluru,Whitefield,35-44,referral,2024-09-20 00:00:00,1
